ex-idx,doc-url,doc-url-hash,model-name,output,INT,INT & AIS,Flagged,Q1,Q2,# agree (INT),# agree (AIS)
446:1,http://web.archive.org/web/20191216051116id_/https://en.wikipedia.org/wiki/Jeff_Dunham_p8,NA,t5-small-no-evidence,was jeff dunham's first comedy central special??,0,0,0,"No, the response is unclear.",,5,-1
1033:1,http://web.archive.org/web/20191222214213id_/https://en.wikipedia.org/wiki/Meredith_Willson_p1,NA,t5-base-pretrained,"music was a summer replacement for fibber mcgee and molly . sparkle time , which ran on cbs in 1946–47, was willson's first full-season radio program .",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
1582:1,http://web.archive.org/web/20190916140645id_/https://en.wikipedia.org/wiki/Nomeansno_p0,NA,t5-small-pretrained,nomeansno,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
705:1,http://web.archive.org/web/20191026111312id_/https://en.wikipedia.org/wiki/Tinashe_p2,NA,t5-small-no-evidence,tinashe in 2007?,0,0,0,"No, the response is unclear.",,5,-1
541:2,http://web.archive.org/web/20191122075423id_/https://en.wikipedia.org/wiki/Tim_Kaine_p32,NA,t5-small-pretrained,kaine,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
721:1,http://web.archive.org/web/20190424211809id_/https://en.wikipedia.org/wiki/LayCool_p0,NA,t5-base-pretrained,layla el and michelle mccool,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
1498:3,http://web.archive.org/web/20191208162506id_/https://en.wikipedia.org/wiki/The_Verve_p5,NA,t5-base-pretrained,bitter sweet symphony,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
2233:2,http://web.archive.org/web/20200228031718id_/https://en.wikipedia.org/wiki/Mind_your_Ps_and_Qs_p1,NA,t5-base-no-evidence,"mind your ps and qs is an english language expression meaning mind your manners, mind your language, be on your best behaviour, watch what you're doing.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
618:1,http://web.archive.org/web/20191020170743id_/https://en.wikipedia.org/wiki/Edge_(wrestler)_p4,NA,t5-base-pretrained,raw,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
2169:3,http://web.archive.org/web/20190723014746id_/https://en.wikipedia.org/wiki/Scott_Mechlowicz_p0,NA,t5-small-no-evidence,scotty doesn't know is a song written and performed by the american rock band lustra.,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
445:1,http://web.archive.org/web/20191115215515id_/https://en.wikipedia.org/wiki/Wonder_Girls_p3,NA,t5-small-pretrained,yubin,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
1242:2,http://web.archive.org/web/20200129235932id_/https://en.wikipedia.org/wiki/Colin_Cowdrey_p1,NA,t5-small-pretrained,"england test odi fc la matches 114 1 692 87 runs scored 7,624 1 42,719 1,978 batting average 44.06 1.00 42.89 29.33 5 wickets in innings – 0 0 10 wickets in match – – 0 0 best bowling – – 0 0 best bowling – – 4/22 1/0 catches/ stumpings 120/– 0/– 638/– 38",0,0,0,"No, the response is unclear.",,5,-1
397:1,http://web.archive.org/web/20200212204311id_/https://en.wikipedia.org/wiki/The_Bill_James_Historical_Baseball_Abstract_p0,NA,t5-base-pretrained,"villard books , updated in paperback in 1988, then followed by the new bill james historical baseball abstract in 2001",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
2257:2,http://derechomilitar.info/busty/matchmaking-god-of-mythology.php_p0,NA,t5-small-no-evidence,zeus was about 40 feet tall as well were the other greek gods and goddesses of similar nature of titan and olympians.,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
1284:3,http://web.archive.org/web/20191110183347id_/https://en.wikipedia.org/wiki/James_O%27Keefe_p6,NA,t5-small-pretrained,o'keefe,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
964:2,http://web.archive.org/web/20200212222201id_/https://en.wikipedia.org/wiki/Mike_Awesome_p8,NA,t5-small-pretrained,extreme championship wrestling,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
1440:2,http://web.archive.org/web/20191206025853id_/https://en.wikipedia.org/wiki/Nightcrawler_%28comics%29_p19,NA,t5-base-no-evidence,"mystique was indeed comics, nightcrawler's biological mother.",1,0,0,"Yes, I understand it.","No, not fully attributable.",5,3
2040:3,http://web.archive.org/web/20190523130436id_/https://en.wikipedia.org/wiki/Millennium_(novel_series)_p0,NA,t5-base-pretrained,stieg larsson,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
185:3,http://web.archive.org/web/20191210234931id_/https://en.wikipedia.org/wiki/Gaelic_Ireland_p12,NA,t5-small-pretrained,what type of settlements were there in gaelic ireland?,0,0,0,"No, the response is unclear.",,4,-1
1870:2,http://web.archive.org/web/20191130223051id_/https://en.wikipedia.org/wiki/Woody_Guthrie_p5,NA,t5-base-pretrained,dust bowl ballads,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
1138:3,http://web.archive.org/web/20191211172403id_/https://en.wikipedia.org/wiki/Big_Star_p14,NA,t5-small-pretrained,alex chilton,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
307:1,http://web.archive.org/web/20191127032401id_/https://en.wikipedia.org/wiki/Michael_Jackson_p27,NA,t5-small-no-evidence,2002 to michael jackson?,0,0,0,"No, the response is unclear.",,5,-1
1856:3,http://web.archive.org/web/20191202210452id_/https://en.wikipedia.org/wiki/Dana_Rohrabacher_p25,NA,t5-small-no-evidence,dana rohrabacher doubts that global warming is caused by humans.,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
2503:2,http://web.archive.org/web/20190720183855id_/https://en.wikipedia.org/wiki/Land_Registration_Act_2002_p1,NA,t5-base-pretrained,when were properties first registered with the land registry,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
649:3,http://web.archive.org/web/20191225211217id_/https://en.wikipedia.org/wiki/Dra%C5%BEen_Petrovi%C4%87_p9,NA,t5-base-pretrained,how old as drazen petrovic at the national team apperance?,0,0,0,"No, the response is unclear.",,5,-1
506:1,http://web.archive.org/web/20191222213556id_/https://en.wikipedia.org/wiki/Harold_Shipman_p1,NA,t5-base-no-evidence,harold shipman died?,1,0,0,"Yes, I understand it.","No, not fully attributable.",3,3
693:2,http://web.archive.org/web/20191210014737id_/https://en.wikipedia.org/wiki/Zorro_p0,NA,t5-small-no-evidence,zorro raised?,0,0,0,"No, the response is unclear.",,5,-1
2198:2,http://web.archive.org/web/20191205233036id_/https://en.wikipedia.org/wiki/Married_at_First_Sight_(American_TV_series)_p0,NA,t5-base-pretrained,"married at first sight is an american reality television series based on gift ved f ⁇ rste blik . the series first aired in the united states on fyi . beginning with season two, it aired in simulcast on sister network a&e .",0,0,0,"No, the response is unclear.",,5,-1
2528:3,http://web.archive.org/web/20190726051932id_/https://en.wikipedia.org/wiki/F%C3%A9nix_(Nicky_Jam_album)_p0,NA,t5-base-pretrained,wikipedia centralnotice fénix (nicky jam album) from wikipedia,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
769:2,http://web.archive.org/web/20200517103520id_/https://en.wikipedia.org/wiki/Sugizo_p7,NA,t5-base-no-evidence,"yes, did sugizo release any singles in 2010?",0,0,0,"No, the response is unclear.",,5,-1
2078:3,http://blog.beachvillaresort.com/2010/_p3,NA,t5-small-no-evidence,àstrid bergès-frisbey and gemma ward play the mermaids in pirates of the caribbean on stranger tides.,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
2169:3,http://web.archive.org/web/20190723014746id_/https://en.wikipedia.org/wiki/Scott_Mechlowicz_p0,NA,t5-base-pretrained,eurotrip,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
1802:1,http://web.archive.org/web/20191101163737id_/https://en.wikipedia.org/wiki/Albert_Ayler_p7,NA,t5-base-no-evidence,albert ayler's style?,0,0,0,"No, the response is unclear.",,5,-1
1892:3,http://web.archive.org/web/20191208004620id_/https://en.wikipedia.org/wiki/Robert_Mitchum_p4,NA,t5-base-no-evidence,robert mitchum was initially known for his work in film noir.,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
374:4,http://web.archive.org/web/20191112205548id_/https://en.wikipedia.org/wiki/Neil_Simon_p1,NA,t5-small-no-evidence,"neil simon's characters are typically portrayed as imperfect, unheroic figures who are at heart decent human beings“",1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
721:1,http://web.archive.org/web/20190424211809id_/https://en.wikipedia.org/wiki/LayCool_p0,NA,t5-small-no-evidence,laycool? laycool?,0,0,0,"No, the response is unclear.",,5,-1
282:1,http://web.archive.org/web/20170511183332id_/https://en.wikipedia.org/wiki/A_Country_Star_is_Born_p0,NA,t5-small-no-evidence,jessi colter produced any albums??,0,0,0,"No, the response is unclear.",,4,-1
567:1,http://web.archive.org/web/20191202150440id_/https://en.wikipedia.org/wiki/Kenny_Dalglish_p0,NA,t5-base-no-evidence,dalglish played with liverpool?,0,0,0,"No, the response is unclear.",,4,-1
788:1,http://web.archive.org/web/20191127045152id_/https://en.wikipedia.org/wiki/Kevin_Spacey_p1,NA,t5-base-pretrained,spacey was charged with indecent assault and battery in relation to an accusation by heather unruh that he sexually assaulted her 18-year-old son .,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
883:1,http://web.archive.org/web/20191227190434id_/https://en.wikipedia.org/wiki/Bolt_Thrower_p4,NA,t5-base-pretrained,martin van drunen,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
1662:3,http://web.archive.org/web/20191128070411id_/https://en.wikipedia.org/wiki/Romani_people_p6,NA,t5-small-pretrained,gypsies,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
1335:3,http://web.archive.org/web/20191207144531id_/https://en.wikipedia.org/wiki/Charles_Krauthammer_p18,NA,t5-small-no-evidence,charles krauthammer was an american political columnist.,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
1699:3,https://wiki2.org/en/The_Allman_Brothers_p8,NA,t5-base-no-evidence,at fillmore east is the first live album by american rock band the allman brothers band.,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
1872:1,http://web.archive.org/web/20191225184331id_/https://en.wikipedia.org/wiki/The_Apples_In_Stereo_p2,NA,t5-base-pretrained,beach boys,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
29:2,http://web.archive.org/web/20191121022131id_/https://en.wikipedia.org/wiki/British_Invasion_p0,NA,t5-small-pretrained,british invasion,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
2013:2,http://web.archive.org/web/20201013111946id_/https://en.wikipedia.org/wiki/Maureen_Wroblewitz_p0,NA,t5-base-no-evidence,the winner of season 5 of asia's next top model was maureen wroblewitz.,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,4
1025:4,http://web.archive.org/web/20191105231435id_/https://en.wikipedia.org/wiki/Sandman_(Wesley_Dodds)_p5,NA,t5-small-no-evidence,wesley dodds and his jsa teammates enter into a limbo to engage in a battle that would allow the universe to continue its existence.,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
2711:3,http://web.archive.org/web/20190528233550id_/https://en.wikipedia.org/wiki/Glenn_Medeiros_p0,NA,t5-small-pretrained,who sings nothings gonna change my love for you in the advert for spontex sponges,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
673:2,http://web.archive.org/web/20200104052806id_/https://en.wikipedia.org/wiki/Ben_Hogan_p2,NA,t5-small-no-evidence,"ben hogan was born in stephenville, texas on august 13, 1912.",1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
1311:1,http://web.archive.org/web/20200211163558id_/https://en.wikipedia.org/wiki/Finian%27s_Rainbow_p4,NA,t5-small-pretrained,og,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
1036:2,http://web.archive.org/web/20191219112827id_/https://en.wikipedia.org/wiki/Ruth_Etting_p2,NA,t5-small-no-evidence,"ruth etting was born in david city, nebraska.",1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
873:1,http://web.archive.org/web/20191109221954id_/https://en.wikipedia.org/wiki/Chris_Christie_p26,NA,t5-small-pretrained,christie,1,1,0,"Yes, I understand it.","Yes, fully attributable.",4,4
1498:3,http://web.archive.org/web/20191208162506id_/https://en.wikipedia.org/wiki/The_Verve_p5,NA,t5-small-no-evidence,the verve's turmoil continued into 1995's a northern soul.,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
466:2,"http://web.archive.org/web/20200103115734id_/https://en.wikipedia.org/wiki/Choir_of_King%27s_College,_Cambridge_p3",NA,t5-small-pretrained,"queen victoria and prince albert entering king’s college chapel, 1843 . by the 1860s it was recognised that musical standards in the choir needed improvement .",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
1699:3,https://wiki2.org/en/The_Allman_Brothers_p8,NA,t5-small-pretrained,fillmore east,1,1,0,"Yes, I understand it.","Yes, fully attributable.",4,4
1386:3,http://web.archive.org/web/20191201011232id_/https://en.wikipedia.org/wiki/Charles_Baudelaire_p7,NA,t5-small-pretrained,baudelaire,1,1,0,"Yes, I understand it.","Yes, fully attributable.",4,4
1586:2,http://web.archive.org/web/20190403032921id_/https://en.wikipedia.org/wiki/Rube_Walker_p1,NA,t5-base-pretrained,walker then backed up campanella for the next six seasons . walker then served out the season as a los angeles dodgers ' coach .,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
1242:2,http://web.archive.org/web/20200129235932id_/https://en.wikipedia.org/wiki/Colin_Cowdrey_p1,NA,t5-base-no-evidence,"in an amazing fifth test at the oval the west indies made 268 and had england 166/7, but the last three wickets added 363 runs and england won.",1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
335:3,http://web.archive.org/web/20191205034337id_/https://en.wikipedia.org/wiki/Andrew_Johnson_p8,NA,t5-base-pretrained,why did andrew johnson move to tennessee?,0,0,0,"No, the response is unclear.","No, not fully attributable.",3,-1
1890:2,http://web.archive.org/web/20190917205530id_/https://en.wikipedia.org/wiki/PJ_Harvey_p7,NA,t5-small-pretrained,harvey,1,1,0,"Yes, I understand it.","Yes, fully attributable.",3,3
335:3,http://web.archive.org/web/20191205034337id_/https://en.wikipedia.org/wiki/Andrew_Johnson_p8,NA,t5-base-no-evidence,andrew johnson risked being apprehended for abandoning selby.,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
1211:1,http://web.archive.org/web/20191114222900id_/https://en.wikipedia.org/wiki/Greg_LeMond_p2,NA,t5-base-pretrained,"lakewood, california",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
2404:3,http://web.archive.org/web/20191219105727id_/https://en.wikipedia.org/wiki/Detroit_Pistons_p0,NA,t5-base-no-evidence,"the detroit pistons have won three nba championships in 1989, 1990 and 2004.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
1880:1,http://web.archive.org/web/20191206151628id_/https://en.wikipedia.org/wiki/Oromo_people_p4,NA,t5-base-no-evidence,what was significant during the pre-19th century for the oromo people?,0,0,0,"No, the response is unclear.",,5,-1
729:2,http://web.archive.org/web/20191031001513id_/https://en.wikipedia.org/wiki/Mark_Henry_p13,NA,t5-small-no-evidence,mark henry gave himself the nickname sexual chocolate.,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
466:3,"http://web.archive.org/web/20200103115734id_/https://en.wikipedia.org/wiki/Choir_of_King%27s_College,_Cambridge_p3",NA,t5-base-no-evidence,reform about? reform about? reform about? reform about? reform about? reform about? reform about? reform about? reform about? reform about? reform about? reform about? reform about? reform about? reform about? reform about? reform about? reform about? reform about? reform about? reform about? reform about? reform about? reform about? reform about? reform about? reform about? reform about? reform about? reform about? reform about? reform about? reform about? reform about? reform about? reform about? reform about? reform about,0,0,0,"No, the response is unclear.",,5,-1
2498:3,http://web.archive.org/web/20191212184056id_/https://en.wikipedia.org/wiki/French_Indochina_p2,NA,t5-base-pretrained,laos and kingdom of cambodia,0,0,0,"No, the response is unclear.",,4,-1
1211:3,http://web.archive.org/web/20191114222900id_/https://en.wikipedia.org/wiki/Greg_LeMond_p3,NA,t5-base-pretrained,"eddie borysewicz described lemond as ""a diamond, a clear diamond""",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
43:2,https://wikivisually.com/wiki/David_Gunn_%28doctor%29_p10,NA,t5-base-no-evidence,university of michigan museum of art. 2.ann arbor hands-on museum. 3.michigan stadium. university of michigan museum of natural history.,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
1903:3,http://web.archive.org/web/20200429013759id_/https://www.verywellhealth.com/jejunum-what-is-the-jejunum-3157103_p2,NA,t5-small-no-evidence,the absorption of nutrients occurs in the jejunum? where does the absorption of nutrients occur in the jejunum?,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
450:1,http://web.archive.org/web/20200517105334id_/https://en.wikipedia.org/wiki/The_Wildhearts_p1,NA,t5-small-pretrained,ginger,0,0,0,"No, the response is unclear.",,5,-1
2346:3,http://web.archive.org/web/20191205034333id_/https://en.wikipedia.org/wiki/Presidential_Succession_Act_p0,NA,t5-small-pretrained,who takes over as president if the speaker of the house dies,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
2040:2,http://glabra.ga/doc/files_551_p15,NA,t5-base-pretrained,trilogy bundle the girl with the dragon tattoo the girl who played with fire the girl who kicked the hornets nest millennium series doc 268 digital signal processing and spectral analysis for scientists doc 269 a companion to ancient education blackwell companions to the ancient world doc 275 stieg larsson millennium trilogy audiobook cd bundle the girl with the dragon tattoo the girl who played with fire and the girl who kicked the hornets' nest cd,0,0,0,"No, the response is unclear.",,5,-1
445:1,http://web.archive.org/web/20191115215515id_/https://en.wikipedia.org/wiki/Wonder_Girls_p3,NA,t5-base-pretrained,jyp entertainment sent their trainee yubin to jyp entertainment as a replacement for hyuna,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,4
75:3,http://web.archive.org/web/20200223002038id_/https://wanderingbull.com/turkey-feathers-history/_p2,NA,t5-base-no-evidence,"europeans came to call the guinea fowl the turkey-cock or turkey-hen, because the bird came from the turkeys.",1,0,0,"Yes, I understand it.","No, not fully attributable.",5,4
1262:1,http://web.archive.org/web/20191112001449id_/https://en.wikipedia.org/wiki/The_Ronettes_p7,NA,t5-base-pretrained,1964,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
712:1,http://web.archive.org/web/20191123235325id_/https://en.wikipedia.org/wiki/Jos%C3%A9_Mart%C3%AD_p14,NA,t5-small-no-evidence,josé mart ⁇  returned to cuba.,0,0,0,"No, the response is unclear.",,5,-1
1817:1,http://web.archive.org/web/20191126091330id_/https://en.wikipedia.org/wiki/Howard_Hughes_p13,NA,t5-small-no-evidence,the near fatal crash was the near fatal crash howard hughes was in?,0,0,0,"No, the response is unclear.",,5,-1
1229:2,http://web.archive.org/web/20191026121453id_/https://en.wikipedia.org/wiki/Bobby_Thomson_p3,NA,t5-small-pretrained,branca,0,0,0,"No, the response is unclear.",,5,-1
1321:1,http://web.archive.org/web/20200315195230id_/https://en.wikipedia.org/wiki/Mechanical_Animals_p0,NA,t5-base-pretrained,mechanical animals,0,0,0,"No, the response is unclear.",,5,-1
147:1,https://kelleepratt.com/2013/11/11/hattie-mcdaniel-pioneer-character/?replytocom=659_p3,NA,t5-small-pretrained,"October 26, 1952",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
525:1,http://web.archive.org/web/20200517114326id_/https://en.wikipedia.org/wiki/Rose_Tattoo_(Rose_Tattoo_album)_p0,NA,t5-base-no-evidence,tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo tattoo,0,0,0,"No, the response is unclear.",,5,-1
254:3,http://web.archive.org/web/20191218150239id_/https://en.wikipedia.org/wiki/Jeb_Bush_p8,NA,t5-small-no-evidence,jeb bush volunteered for his father's campaigns in 1980 and 1988.,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
111:2,http://web.archive.org/web/20191105085148id_/https://en.wikipedia.org/wiki/Disturbed_(band)_p5,NA,t5-base-no-evidence,indestructible,0,0,0,"No, the response is unclear.",,4,-1
883:1,http://web.archive.org/web/20191227190434id_/https://en.wikipedia.org/wiki/Bolt_Thrower_p4,NA,t5-small-no-evidence,bolt thrower in 1995?,0,0,0,"No, the response is unclear.",,5,-1
2661:1,http://web.archive.org/web/20191128191627id_/https://en.wikipedia.org/wiki/Liverpool_F.C._p12,NA,t5-base-no-evidence,"musical has the song you'll never walk alone, the song you'll never walk alone, the song you'll never walk alone, the song you'll never walk alone, the song you'll never walk alone, the song you'll never walk alone, the song you'll never walk alone, the song you'll never walk alone, the song you'll never walk alone, the song you're never walk alone, the song you''s never walk alone, the song you's never walk alone, the song",0,0,0,"No, the response is unclear.",,5,-1
2346:3,http://web.archive.org/web/20191205034333id_/https://en.wikipedia.org/wiki/Presidential_Succession_Act_p0,NA,t5-base-no-evidence,the united states presidential line of succession follows with president pro tempore of the senate.,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
506:1,http://web.archive.org/web/20191222213556id_/https://en.wikipedia.org/wiki/Harold_Shipman_p1,NA,t5-small-no-evidence,when did harold shipman die??,0,0,0,"No, the response is unclear.",,5,-1
1541:1,http://web.archive.org/web/20191123083505id_/https://en.wikipedia.org/wiki/The_Replacements_(band)_p4,NA,t5-base-no-evidence,1981??,0,0,0,"No, the response is unclear.",,5,-1
1015:1,http://web.archive.org/web/20191114205343id_/https://en.wikipedia.org/wiki/Manorialism_p0,NA,t5-small-no-evidence,manorialism first appeared??,0,0,0,"No, the response is unclear.",,5,-1
2404:3,http://web.archive.org/web/20191219105727id_/https://en.wikipedia.org/wiki/Detroit_Pistons_p0,NA,t5-base-pretrained,"fort wayne zollner pistons 1941–1948 fort wayne pistons 1948–1957 detroit pistons 1957–present arena little caesars arena location detroit, michigan",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,4
776:2,http://web.archive.org/web/20190817060256id_/https://en.wikipedia.org/wiki/Andy_Irvine_(musician)_p13,NA,t5-base-no-evidence,musician andy irvine moved to dublin and continued earning a living as an actor for a while.,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,4
528:3,http://web.archive.org/web/20191130222406id_/https://en.wikipedia.org/wiki/John_W._Campbell_p11,NA,t5-base-no-evidence,john w. campbell became interested in joseph rhine's theories about esp.,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
1678:3,http://web.archive.org/web/20190420114036id_/https://en.wikipedia.org/wiki/Dancing_Undercover_p3,NA,t5-base-pretrained,what songs did ratt make in the early years?,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
1922:3,http://web.archive.org/web/20200524083605id_/https://caricom.org/our-community/who-we-are/our-governance/member-states-and-associate-members/_p0,NA,t5-small-no-evidence,guyana became a member of caricom on 1 august 1973.,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
664:3,http://web.archive.org/web/20191128200020id_/https://en.wikipedia.org/wiki/John_Belushi_p3,NA,t5-base-pretrained,1975,0,0,0,"No, the response is unclear.",,5,-1
274:3,http://web.archive.org/web/20200102043250id_/https://en.wikipedia.org/wiki/Lee_Trevino_p7,NA,t5-base-no-evidence,lee trevino said after the 1969 masters don't talk to me about the masters. i'm never going to play there again.“,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
883:1,http://web.archive.org/web/20191227190434id_/https://en.wikipedia.org/wiki/Bolt_Thrower_p4,NA,t5-base-no-evidence,1995?,0,0,0,"No, the response is unclear.",,5,-1
1050:3,http://web.archive.org/web/20191201123753id_/https://en.wikipedia.org/wiki/Cass_Sunstein_p8,NA,t5-small-pretrained,what is cass sunstein's theory?,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
525:1,http://web.archive.org/web/20200517114326id_/https://en.wikipedia.org/wiki/Rose_Tattoo_(Rose_Tattoo_album)_p0,NA,t5-small-no-evidence,the selftitled debut of rose tattoo?,0,0,0,"No, the response is unclear.",,5,-1
